mp_id,formula,bandgap_eV,nsites,density_g_per_cm3,volume_per_atom_A3,spacegroup_number,crystal_system,nelements
mp-1189438,TlBi2Cl7,3.2897,20,4.8578,29.7569,2,Triclinic,3
mp-1206020,K2Ce(CuS2)2,0.5589,9,3.8332,22.7993,12,Monoclinic,4
mp-562441,Cs3AlO3,2.2572,28,4.7392,23.7107,14,Monoclinic,3
mp-1112624,Cs2LiGdCl6,2.782,10,3.513,30.3807,225,Cubic,4
mp-1199401,Nd(NO3)3,3.1368,104,2.9899,14.1093,15,Monoclinic,3
mp-1195727,K4CaU(Si2O7)2,2.0738,48,3.4777,15.3357,118,Tetragonal,5
mp-17542,TlMoPO6,2.8562,36,4.9901,15.7986,70,Orthorhombic,4
mp-1190838,RbLaF4,6.0875,24,4.9791,16.6953,62,Orthorhombic,3
mp-1209528,PdPb2F6,1.1328,18,7.2215,16.219,64,Orthorhombic,3
mp-1199125,In2Se2O7,2.8578,88,5.4283,13.8922,56,Orthorhombic,3
mp-1220119,PrH18(BrO6)3,4.4897,80,2.6501,10.7579,186,Hexagonal,4
mp-29373,KAlSb4,0.2452,24,4.5275,33.811,62,Orthorhombic,3
mp-545399,NaNiIO6,1.7121,9,4.4053,12.7567,149,Trigonal,4
mp-756044,Na3AsO4,3.4645,16,2.9675,14.5413,31,Orthorhombic,3
mp-24606,Rb2MgH8(CO5)2,4.7717,46,2.4603,11.3659,14,Monoclinic,5
mp-1218773,Sr2SnS5,1.0055,32,3.9477,23.8852,18,Orthorhombic,3
mp-559309,K3ZnNCl4O3,3.3316,48,2.404,22.2492,62,Orthorhombic,5
mp-29163,Ag2TeS3,1.2999,12,5.1462,23.6373,9,Monoclinic,3
mp-34418,AgPF6,3.2361,8,3.1573,16.6215,225,Cubic,3
mp-1195469,BaGeS3,2.4497,40,3.6974,27.5001,14,Monoclinic,3
mp-1200969,B3Pb3NO10,3.0129,68,5.9697,13.5487,62,Orthorhombic,4
mp-567878,AlTlBr4,4.0998,24,4.2954,35.5005,13,Monoclinic,3
mp-19379,CoSO4,2.1606,24,3.8121,11.2526,62,Orthorhombic,3
mp-1118943,Cs3Re2N5,0.3266,40,5.7164,24.4348,80,Tetragonal,3
mp-1229141,Ag2HgGeS4,0.4441,16,5.334,24.0187,7,Monoclinic,4
mp-20450,YCrB4,0.1589,24,5.2446,9.7174,55,Orthorhombic,3
mp-863299,Cs2CoH12(SO7)2,2.8743,62,2.7751,12.0632,14,Monoclinic,5
mp-28230,TlSbS2,1.6594,16,5.809,27.8904,2,Triclinic,3
mp-557112,Li4Ga3Si3IO12,3.6307,46,3.2998,14.0047,218,Cubic,5
mp-699587,MnSi6Pb8O21,3.2475,72,6.3153,16.193,167,Trigonal,4
mp-2017427,Fe2PO5,0.3181,16,4.1571,11.1176,109,Tetragonal,3
mp-3848,BaGe4O9,3.0551,42,5.0689,13.3819,150,Trigonal,3
mp-27148,BeP2,0.8362,24,2.4927,15.7566,15,Monoclinic,2
mp-1277107,TiFeO3,2.2487,20,4.5978,10.9583,2,Triclinic,3
mp-669508,TaP2NCl12,2.8674,32,2.5542,27.7254,15,Monoclinic,4
mp-8017,AlCuTe2,1.0186,8,5.2498,27.3391,122,Tetragonal,3
mp-30984,S(IO3)2,1.8938,18,4.293,16.412,15,Monoclinic,3
mp-699658,Na4VS3O13,2.6285,168,2.6756,13.2129,14,Monoclinic,4
mp-1228745,AsRhS,1.2237,12,7.1219,16.3128,198,Cubic,3
