mp_id,formula,bandgap_eV,nsites,density_g_per_cm3,volume_per_atom_A3,spacegroup_number,crystal_system,nelements
mp-20726,SrCaSn,0.2882,12,3.8822,35.1318,62,Orthorhombic,3
mp-565597,Cu3P4S4I3,1.626,84,3.6352,26.8698,185,Hexagonal,4
mp-16928,Ba6Lu2(WO6)3,2.9903,29,7.6152,15.1391,166,Trigonal,4
mp-3797,K3AsS4,2.1312,32,2.3401,28.4265,62,Orthorhombic,3
mp-1219543,Sb3RhPb4O13,0.2653,21,8.2771,14.3774,160,Trigonal,4
mp-570553,FeP4,0.8049,20,4.1425,14.4099,15,Monoclinic,2
mp-1639336,CaLaFeSbO6,2.2547,20,5.9754,12.5772,1,Triclinic,5
mp-769176,K5YO4,2.1088,80,2.6451,21.8718,61,Orthorhombic,3
mp-1221436,MoCl6,1.0942,7,2.7407,26.7155,162,Trigonal,2
mp-1079458,Cs2NaCeCl6,0.3601,10,3.106,34.3033,225,Cubic,4
mp-1105135,RbCdGeAs2,0.7365,20,4.7335,29.4931,2,Triclinic,4
mp-1019525,Ba3ZnB5PO14,4.8405,48,4.1639,13.0674,31,Orthorhombic,5
mp-1112710,Cs2KScI6,2.3591,10,3.7009,49.862,225,Cubic,4
mp-3393,Sr3Al2O6,4.2046,264,4.0167,15.5149,205,Cubic,3
mp-27365,BaBiSe3,0.9944,40,6.1772,31.354,19,Orthorhombic,3
mp-1370,CsSi,1.5634,64,3.3825,39.5166,218,Cubic,2
mp-9298,Sr(AuO2)2,1.2361,14,9.1809,14.0962,88,Tetragonal,3
mp-19063,ErCrO3,0.2571,20,8.2593,10.7463,62,Orthorhombic,3
mp-554903,TbSeClO3,4.3868,24,4.6249,19.2288,62,Orthorhombic,4
mp-1194699,Rb14ZnGe16,1.0649,62,3.4779,37.3368,31,Orthorhombic,3
mp-571306,Ca2Zn2CuP3,0.2778,16,4.0004,19.0651,194,Hexagonal,4
mp-1214551,Ba6Tb2Ga4O15,3.5957,54,6.0546,16.8691,13,Monoclinic,4
mp-556232,Na2CaMg(PO4)2,5.336,56,3.0485,11.6841,14,Monoclinic,5
mp-1205947,Eu2TaAlO6,0.3394,10,8.3678,12.0624,225,Cubic,4
mp-976280,LiBr,4.9348,4,2.9032,24.8361,186,Hexagonal,2
mp-567756,La2CN3Cl,1.8792,14,4.731,18.4169,65,Orthorhombic,4
mp-1213705,Cs2NaGaP2,1.482,12,3.8289,30.3924,72,Orthorhombic,4
mp-1111927,K2LiCrF6,4.1644,10,3.1196,13.367,225,Cubic,4
mp-19393,NdMn2O5,1.1794,32,5.9951,11.568,55,Orthorhombic,3
mp-1213957,CaZrTlF7,5.5631,20,4.5301,17.1796,63,Orthorhombic,4
mp-1220821,NaBi3(BrO2)2,2.2208,10,7.3991,19.6087,38,Orthorhombic,4
mp-6684,NaCdPO4,2.9173,28,4.0982,13.335,62,Orthorhombic,4
mp-17434,K2SmF5,6.7623,32,4.0979,16.3884,62,Orthorhombic,3
mp-2826,Lu2S3,2.5664,10,6.3102,23.4799,167,Trigonal,2
mp-1120731,NaVF6,3.2498,32,3.001,12.998,62,Orthorhombic,3
mp-28037,Mo2SBr2,0.9875,30,5.2837,24.121,63,Orthorhombic,3
mp-1204836,RbTa3(TeO6)2,2.8998,72,6.624,14.9785,57,Orthorhombic,4
mp-1225362,Dy2CO5,4.4556,16,7.191,12.0368,63,Orthorhombic,3
mp-23398,BClF6,3.3471,32,2.4986,13.313,14,Monoclinic,3
mp-22198,Nb2NiO6,2.9982,36,5.5607,11.298,60,Orthorhombic,3
mp-30537,TbP5O14,5.573,80,3.5973,12.4122,14,Monoclinic,3
mp-607785,Rb6LiNd11Se12(Cl4O9)4,3.1133,164,4.3182,19.6827,140,Tetragonal,6
mp-556884,CaSi2(NO)2,4.3691,84,2.9582,12.5308,4,Monoclinic,4
mp-18510,Sr2SiO4,4.4605,28,4.5231,14.0201,14,Monoclinic,3
mp-19903,V2Pb3O8,2.9795,13,7.1436,15.2251,5,Monoclinic,3
mp-23442,KCdCl3,3.5095,20,3.3001,25.9511,62,Orthorhombic,3
mp-1208862,SmMg(BO2)5,6.0056,68,4.0812,9.3035,14,Monoclinic,4
mp-541148,KUVO6,1.9806,36,4.68,16.7183,14,Monoclinic,4
mp-1196828,NaLiMgPO4F,5.1228,36,2.8093,11.047,14,Monoclinic,6
mp-1205714,Rb2P2Pd,1.2653,10,3.8834,29.0173,63,Orthorhombic,3
mp-28778,KScF4,6.0931,24,2.6484,16.7247,12,Monoclinic,3
mp-15349,Li2GeO3,3.568,12,3.5485,10.4916,36,Orthorhombic,3
mp-505171,NaTiCuS3,0.156,24,3.4904,18.2841,62,Orthorhombic,4
mp-3488,Na2Ti3O7,2.9953,24,3.4567,12.0727,11,Monoclinic,3
mp-1211726,K2Rb4Fe2O5,0.9804,26,3.4576,22.5999,12,Monoclinic,4
mp-1210758,Na3Y(PO4)2,4.964,112,3.3314,12.3836,29,Orthorhombic,4
mp-8713,K2MnS2,0.972,10,2.4036,27.2558,72,Orthorhombic,3
mp-1211257,KTl(SO4)2,2.0234,12,3.8778,15.5447,155,Trigonal,4
mp-17539,KAsOF4,3.7394,28,3.1141,15.6935,14,Monoclinic,4
mp-1189617,Gd3Cu3Sb4,0.3003,20,8.4467,22.5966,220,Cubic,3
mp-31322,La6OsI10,0.0879,17,5.098,43.9289,2,Triclinic,3
mp-5732,La2Si2O7,4.7992,44,4.6976,14.3315,14,Monoclinic,3
mp-1205833,Ba2NbRhO6,0.8889,10,6.7871,13.859,225,Cubic,4
mp-23017,CsCu2Br3,1.4959,12,4.6802,29.5494,63,Orthorhombic,3
mp-1200120,Na2Ta2(P2O7)3,3.5105,62,3.2986,15.0973,176,Hexagonal,4
mp-654225,KFe(SeO3)2,2.2925,40,3.8409,15.0824,62,Orthorhombic,4
mp-18935,K2V(PO4)2,2.74,26,2.699,15.1007,100,Tetragonal,4
mp-1163934,Ca3V2(SiO4)3,1.8973,80,3.62,11.4303,230,Cubic,4
mp-1181719,NaZn4H6SClO16,0.4931,58,2.6395,13.3237,2,Triclinic,6
mp-1205113,VN3O10,3.0186,56,2.3241,12.9093,14,Monoclinic,3
mp-1201529,VB(PbO2)4,2.9657,56,7.2838,16.5861,14,Monoclinic,4
mp-961682,TiSnPd,0.2039,3,7.6991,19.6267,216,Cubic,3
mp-1020164,Na3LiP2O7,4.8511,26,2.5997,12.2762,20,Orthorhombic,4
mp-1194646,Gd3Te2NO,0.8445,28,7.3816,24.3261,62,Orthorhombic,4
mp-976384,HoB4W,0.2705,24,10.3199,10.513,55,Orthorhombic,3
mp-29458,Rb3Mo2Cl9,0.1007,28,3.2703,27.8309,194,Hexagonal,3
mp-730460,Na5H3(CO3)4,5.022,48,2.4026,10.3097,2,Triclinic,4
mp-782047,Ca9La5Cl33,3.6782,94,3.1332,25.0912,2,Triclinic,3
mp-1220879,NaSbSe2,0.6375,4,4.8849,25.7219,166,Trigonal,3
mp-8932,Cs2SiP2,1.2699,10,3.5324,33.4556,72,Orthorhombic,3
mp-30990,K6Si2O7,3.5108,30,2.6275,16.969,14,Monoclinic,3
mp-21547,Na3InSb2,0.6322,48,4.1464,28.5214,14,Monoclinic,3
mp-557632,K2LiBO3,3.5825,14,2.4103,14.1669,5,Monoclinic,4
mp-1020643,Rb3Zn(BO2)5,4.314,76,3.0652,15.2788,14,Monoclinic,4
mp-559911,V4S9Br4,0.6915,34,3.1034,25.5562,129,Tetragonal,3
mp-635441,SiI4,2.8558,40,3.8502,46.208,205,Cubic,2
mp-755869,Dy2Mn2O7,0.9041,22,7.4927,11.018,227,Cubic,3
mp-19177,CrO2,0.042,6,4.9243,9.4415,136,Tetragonal,2
mp-773117,La3Si2BO10,4.4382,128,4.9668,13.4504,61,Orthorhombic,4
mp-28892,PH4N3,4.7672,96,1.7559,9.1052,14,Monoclinic,3
mp-1176399,Na2FePCO7,2.3732,24,2.722,13.0553,11,Monoclinic,5
mp-559462,CrHg3(PbO4)2,1.9243,56,7.9535,17.8382,14,Monoclinic,4
mp-560051,RbSiBiS4,2.0549,28,3.8128,28.0472,14,Monoclinic,4
mp-1218129,SrNdMgRuO6,0.3619,20,6.0005,12.5424,7,Monoclinic,5
mp-16884,RbEr2Cu3Se5,1.1477,22,6.5573,23.1461,63,Orthorhombic,4
mp-680437,K3GdSi2O7,3.1454,78,3.4757,16.2698,193,Hexagonal,4
mp-1198285,Cu3P4H8N2(O3F)4,0.6221,66,2.8884,10.7768,14,Monoclinic,6
mp-530449,Ca3(AsO4)2,3.6559,91,3.4991,14.5315,146,Trigonal,3
mp-2809,Sb2S3,1.2866,20,4.3754,25.7854,62,Orthorhombic,2
mp-1186971,RbPrP3HO10,5.4516,32,3.5411,14.0766,2,Triclinic,5
mp-1210431,Na2MgGeO4,3.2678,16,3.0863,13.9166,7,Monoclinic,4
mp-13674,NaGeAu3,0.0512,40,12.1593,18.7512,205,Cubic,3
mp-28373,BaP3Pt2,0.1292,24,7.5567,22.7222,14,Monoclinic,3
mp-31122,Er2MoO6,1.8785,36,7.8656,12.3491,15,Monoclinic,3
mp-1193606,Cs3GeTe3,1.1962,28,4.4055,45.9934,15,Monoclinic,3
mp-23444,AsCl2F3,2.8871,24,2.8978,19.3707,85,Tetragonal,3
mp-1213153,CsSc3F10,5.3828,28,3.6068,15.0534,51,Orthorhombic,3
mp-13726,Na3SrLaZnSi6O17,4.7991,116,3.4579,13.2706,54,Orthorhombic,6
mp-1205758,Ba2EuMoO6,0.0479,10,6.5892,15.5881,225,Cubic,4
mp-558276,K2Er(NO3)5,3.4576,92,2.6337,15.2273,14,Monoclinic,4
mp-27208,RbMgCl3,4.7503,20,2.774,25.8754,194,Hexagonal,3
mp-557963,Cr4Si2Br2O7,2.2567,60,3.8838,15.2766,7,Monoclinic,4
mp-755013,Li5TaO5,3.7662,11,4.6329,9.6334,12,Monoclinic,3
mp-988,Si3N4,4.2503,14,3.2021,10.3926,176,Hexagonal,2
mp-9317,KZrCuS3,0.5925,12,3.7097,21.6398,63,Orthorhombic,4
mp-28519,Fe4As5O13,1.7175,44,4.5378,13.4062,2,Triclinic,3
mp-540939,Ti(TlS)4,2.5021,36,6.2677,29.2505,14,Monoclinic,3
mp-1045812,CaFe(PO3)4,4.4626,36,2.7822,13.6549,15,Monoclinic,4
mp-978275,MgB7,1.5414,32,2.6363,7.872,74,Orthorhombic,2
mp-775489,CrP6(WO8)3,2.0678,34,4.0047,14.3096,146,Trigonal,4
mp-1214066,Ca3Hf3AgF20,0.8421,54,4.5049,15.6118,176,Hexagonal,4
mp-23636,Cs3Np(Cl2O)2,0.2279,20,3.9724,33.8395,15,Monoclinic,4
mp-1096925,CsBaI3,3.6259,20,4.1831,51.6807,62,Orthorhombic,3
mp-571478,SnHg7(As2I3)2,0.9497,72,6.9685,34.2077,198,Cubic,4
mp-998427,BaZrSe3,0.3726,20,5.5027,28.0907,62,Orthorhombic,3
mp-1203691,Fe7Sb10(Br4O9)2,2.4551,43,4.9009,19.9807,2,Triclinic,4
mp-680306,Rb14Si10O17,1.4904,164,3.0591,23.1608,14,Monoclinic,3
mp-23846,KHF2,6.9658,8,2.4679,13.138,140,Tetragonal,3
mp-680413,Rb3As7,1.5816,160,3.5386,36.6424,61,Orthorhombic,2
mp-984696,Hf(TlTe)4,0.505,27,8.2032,33.8823,148,Trigonal,3
mp-1207980,TmZrF7,5.8705,18,4.925,14.7284,4,Monoclinic,3
mp-18642,Ca(YS2)2,1.5361,28,3.4543,23.7716,62,Orthorhombic,3
mp-541844,Ge5Ir4,0.1279,36,12.8266,16.2842,116,Tetragonal,2
mp-10914,K3Cu5O4,1.5935,48,3.5208,19.6133,14,Monoclinic,3
mp-766492,Sr2CrCO3F5,3.5625,48,3.7862,13.97,14,Monoclinic,5
mp-754326,NaAgO2,0.5911,4,5.2713,12.8257,12,Monoclinic,3
mp-699390,Pr4Si4N7ClO3,3.1119,76,4.9027,15.2855,19,Orthorhombic,5
mp-865018,CuBiPtS3,0.4749,24,7.7434,20.1509,19,Orthorhombic,4
mp-13305,SmSnAu,0.0655,3,9.8992,26.0584,216,Cubic,3
mp-23278,NpCl3,0.0473,8,5.5443,25.7094,176,Hexagonal,2
mp-23341,Bi2Pt2O7,0.7805,22,10.7871,12.8765,227,Cubic,3
mp-557236,Te2As2Se8S(OF6)2,1.4407,108,3.6264,22.535,14,Monoclinic,6
mp-1192419,CsHSO4,5.3412,28,3.413,15.9846,14,Monoclinic,4
mp-731052,MnH2(SeO4)2,2.2486,52,3.2247,13.5816,14,Monoclinic,4
mp-560490,La2C2N4O,3.3297,18,4.9034,14.0674,15,Monoclinic,4
mp-1582,As2O3,4.0339,20,4.1175,15.9575,14,Monoclinic,2
mp-729903,ZnInH14O7F5,4.2742,56,2.6611,8.9439,2,Triclinic,5
mp-28713,Na2Te2O5,2.929,36,4.689,14.9988,15,Monoclinic,3
mp-29388,K2Ge2Se5,1.9498,36,3.4454,33.1089,11,Monoclinic,3
mp-16780,KBaNbS4,2.0731,28,3.1319,30.115,62,Orthorhombic,4
mp-1193915,Mn3Sb2(IO)4,1.6919,26,4.3587,28.7181,64,Orthorhombic,4
mp-1179800,Rb(WO3)3,0.6478,26,6.7603,14.7563,66,Orthorhombic,3
mp-11917,Mg(BeN)2,4.0657,5,3.0797,7.5856,164,Trigonal,3
mp-17031,KAlP2O7,5.2966,44,2.8031,12.9263,14,Monoclinic,4
mp-1078539,Sr2MgMoO6,2.313,10,5.0848,12.7845,87,Tetragonal,4
mp-643801,K2H6PbO6,2.1354,15,3.7258,11.5118,148,Trigonal,4
mp-28419,K2TeSe3,1.7896,24,3.3783,36.2647,14,Monoclinic,3
mp-643264,BaMg2FeH8,1.4471,12,3.3105,10.4435,164,Trigonal,4
mp-28218,TlCdCl3,3.2976,20,5.2514,26.7612,62,Orthorhombic,3
mp-1213763,ClF5,3.0868,12,2.6189,13.7852,36,Orthorhombic,2
mp-1019569,Ca10Ge16(B2O17)3,3.0963,166,4.1587,11.7567,32,Orthorhombic,4
mp-23397,MoPCl9,0.0249,22,2.5197,26.7199,2,Triclinic,3
mp-1178563,AgAsO3,0.2921,10,6.4257,11.9281,148,Trigonal,3
mp-573751,AlTeCl7,3.3025,36,2.3694,31.3618,14,Monoclinic,3
mp-1209738,Pr2Cu(GeO4)2,0.6574,26,5.896,13.4025,8,Monoclinic,4
mp-1002107,LaRh,0.0812,4,8.5039,23.6091,63,Orthorhombic,2
mp-1195674,Sr5V3BrO12,3.7925,42,4.1005,16.6386,176,Hexagonal,4
mp-1190898,Bi7O5F11,3.9069,23,8.6184,14.6754,5,Monoclinic,3
mp-1019593,Ce(PO3)4,1.2397,136,3.1409,14.1814,15,Monoclinic,3
mp-1018095,BaGaGeH,0.0661,4,5.3287,21.8678,156,Trigonal,4
mp-18971,Mn(PtO2)3,0.0734,10,10.6643,11.4632,65,Orthorhombic,3
mp-553997,Na2Mn(PO3)5,1.3872,46,2.6042,13.7446,11,Monoclinic,4
mp-6499,BaLiBO3,4.489,24,4.2662,13.1739,14,Monoclinic,4
mp-561186,Sm3BWO9,3.8257,28,7.2314,12.9531,173,Hexagonal,4
mp-571416,Sr14Al8Ge3,0.0556,50,3.3048,33.373,148,Trigonal,3
mp-17389,Pr3SiAgSe7,1.4423,24,5.9576,25.8148,173,Hexagonal,4
mp-645172,CsAs2Se3,1.6457,48,4.4617,32.2325,62,Orthorhombic,3
mp-560937,Na3Si3SnO9F,3.8392,34,3.2368,13.1251,12,Monoclinic,5
mp-1019602,Cs2Al2B2O7,4.249,26,3.471,16.685,14,Monoclinic,4
mp-1206497,Cs3CoF6,2.912,10,4.7945,19.7982,225,Cubic,3
mp-675779,Li2Mo3S4,1.354,18,4.8272,16.434,1,Triclinic,3
mp-1029565,Na3W2N5,2.2402,40,5.1719,16.2681,80,Tetragonal,3
mp-1204387,V3As2H4O13,1.4995,44,3.4496,11.2617,2,Triclinic,4
mp-2713872,Na2Ta5Al3(PO4)12,2.6079,210,3.7776,13.635,1,Triclinic,5
mp-558490,Tb3Se2ClO8,4.086,56,5.8437,16.2,62,Orthorhombic,4
mp-1102515,ZnSe2,0.7292,12,5.7279,21.5815,205,Cubic,2
mp-1214513,Ba6Tb2Al4O15,3.9253,54,5.6157,16.315,13,Monoclinic,4
mp-5966,Cd2SnO4,0.3998,14,7.5477,12.8084,55,Orthorhombic,3
mp-4618,Rb2SeO4,3.6558,28,3.9385,18.906,62,Orthorhombic,3
mp-555932,RbEr3F10,7.2806,56,6.5913,13.9862,186,Hexagonal,3
mp-554705,Ni2P2O7,1.5587,22,4.2829,10.2685,14,Monoclinic,3
mp-999488,NaDySe2,1.8635,4,5.618,25.3758,166,Trigonal,3
mp-19403,Ba2CaMoO6,2.258,10,5.4787,15.3566,225,Cubic,4
mp-1199136,K2SmMoPO8,4.0009,52,3.6196,17.0615,73,Orthorhombic,5
mp-6825,Ho2Si4CN6,3.2459,52,5.8225,11.8083,14,Monoclinic,4
mp-561035,BaFe2(SeO3)4,1.8294,38,4.2579,15.5349,13,Monoclinic,4
mp-665922,SrHgO2,2.1978,4,6.504,20.4382,166,Trigonal,3
mp-554523,TeBrO3F5,2.7668,40,3.319,17.5354,14,Monoclinic,4
mp-1221019,NaNb4Bi5O18,2.7554,28,7.5116,13.6388,8,Monoclinic,4
mp-1029469,ZnSnN2,0.1207,16,6.5181,13.5106,33,Orthorhombic,3
mp-756122,Cs3TlO3,1.5853,28,5.9351,26.0236,14,Monoclinic,3
mp-560789,SbI(ClF3)2,1.9054,40,3.2405,22.2169,64,Orthorhombic,4
mp-558241,TaTl2AgS4,2.0324,32,6.1739,27.7648,14,Monoclinic,4
mp-11124,CsLaHgSe3,1.4545,12,5.7157,34.3439,63,Orthorhombic,4
mp-15511,CaTe3O8,2.0176,24,5.696,13.3829,15,Monoclinic,3
mp-1217605,TbCuPbS3,1.6325,12,6.5728,22.1423,36,Orthorhombic,4
mp-1114036,KRb2ScCl6,4.0163,10,2.3476,33.0832,225,Cubic,4
mp-1191360,Ba3SmInS6,1.9722,22,4.7219,27.7993,167,Trigonal,4
mp-19264,Co3(PO4)2,2.9001,26,3.8747,12.0902,14,Monoclinic,3
mp-1210432,Na2MgCrF7,4.2549,22,2.9821,12.9221,74,Orthorhombic,4
mp-1199790,Cs10P4PdSe16,1.2531,62,3.8501,39.2719,131,Tetragonal,4
mp-1213157,CsSc(WO4)2,4.1422,12,4.535,20.5519,164,Trigonal,4
mp-1210796,Li2MnGeO4,2.0368,32,3.6499,11.6841,31,Orthorhombic,4
mp-1220452,NbCu3(SeS)2,1.4624,8,4.7382,22.1488,35,Orthorhombic,4
mp-23130,Sr2Co(ClO)2,0.5379,14,4.4971,17.7807,139,Tetragonal,4
mp-12931,SmTaO4,3.9923,12,8.5032,12.8662,13,Monoclinic,3
mp-28922,Ca2Si5N8,3.3449,30,3.0611,12.0296,9,Monoclinic,3
mp-25448,LiCrPO4F,2.336,16,3.2254,11.1272,2,Triclinic,5
mp-1209666,Rb2LaTa6(Br5O)3,1.1572,54,5.9786,27.1789,163,Trigonal,5
mp-867219,Sr2GaGeN,0.0306,10,4.6141,23.8679,11,Monoclinic,4
mp-1198053,Cs3Ag2Sb3S8,1.1316,32,4.0332,31.8119,11,Monoclinic,4
mp-27824,PICl6,1.7907,16,2.3752,32.3858,113,Tetragonal,3
mp-3448,KMgF3,6.9537,5,3.1748,12.5944,221,Cubic,3
mp-1213270,CsNd(MoO4)2,3.6679,24,4.5201,18.2773,13,Monoclinic,4
mp-1102476,TbAsSe,0.0751,12,7.6751,22.5589,62,Orthorhombic,3
mp-1396958,ZnFeF6,0.8452,8,3.8113,12.8116,148,Trigonal,3
mp-866646,KGeBiS4,1.8048,28,3.968,26.8413,14,Monoclinic,4
mp-1210588,MgTeO4,1.4751,12,5.4467,10.9704,13,Monoclinic,3
mp-1216804,TlV3Cd4O12,2.3305,40,5.818,14.2541,9,Monoclinic,4
mp-1214487,Ba3ZnSb2O9,1.9685,30,6.3932,14.9764,194,Hexagonal,4
mp-557717,Li3Nd3(WO6)2,3.7084,80,6.6666,12.6189,230,Cubic,4
mp-649608,K3Pr2(NO3)9,3.4562,164,2.4819,15.6192,212,Cubic,4
mp-31118,SmScO3,4.3669,20,6.3388,12.7479,62,Orthorhombic,3
mp-1197982,K2LiIn(MoO4)3,3.7751,38,3.3892,17.5289,4,Monoclinic,5
mp-1209719,Rb2Be3Ni2F12,6.149,76,3.4889,13.6105,198,Cubic,4
mp-562569,CsPPbS4,2.3363,28,4.1112,28.812,62,Orthorhombic,4
mp-8900,K2VAgS4,1.305,16,2.8781,26.3429,70,Orthorhombic,4
mp-14316,KPr(SeO4)2,3.4507,48,4.0661,15.8563,14,Monoclinic,4
mp-581532,Cs3Fe4(PO4)5,2.4999,128,3.7741,15.0826,56,Orthorhombic,4
mp-8612,Sb2TeSe2,0.4864,5,5.8811,29.875,160,Trigonal,3
mp-1224833,Gd2MnCoO6,0.9184,20,7.6622,11.364,14,Monoclinic,4
mp-1188959,Sr2LuNbO6,3.2094,20,6.3092,14.1891,14,Monoclinic,4
mp-1196745,Sr2As2O7,3.2477,88,4.4345,14.879,78,Tetragonal,3
mp-555321,BaNiF4,4.6572,12,5.1705,14.5597,36,Orthorhombic,3
mp-27807,Mn2O2F9,0.6135,52,3.2279,12.3803,15,Monoclinic,3
mp-1080438,SrAgTeF,1.2847,8,6.0343,23.5342,129,Tetragonal,4
mp-1211923,K2TeH6SO10,3.409,40,2.7184,12.3363,2,Triclinic,5
mp-17077,K2YF5,6.81,32,3.4331,15.8464,62,Orthorhombic,3
mp-1189005,Tb6NiBr10,0.4283,17,5.6068,31.5555,2,Triclinic,3
mp-556422,NbCl3O,2.8075,20,2.8894,24.7423,113,Tetragonal,3
mp-19039,CdMoO4,2.4682,12,6.0497,12.4591,88,Tetragonal,3
mp-1112758,Cs2KNdBr6,4.2395,10,3.4552,44.6269,225,Cubic,4
mp-1195407,KBOF2,6.0598,60,2.493,13.8418,14,Monoclinic,4
mp-755177,EuSeO3,0.0866,10,6.2389,14.8474,11,Monoclinic,3
mp-559904,NaLi3SiO4,4.5993,72,2.3972,10.4595,88,Tetragonal,4
mp-1211245,KTmBeF6,7.4658,18,4.6022,13.2712,11,Monoclinic,4
mp-9503,BaDyCuTe3,0.5186,12,6.5097,31.7232,63,Orthorhombic,4
mp-7575,LiZnN,0.5187,3,4.9821,9.5943,216,Cubic,3
mp-504922,UPbO4,1.5098,24,9.2178,15.2892,57,Orthorhombic,3
mp-17975,KSrPO4,5.0889,28,3.7567,13.9989,62,Orthorhombic,4
mp-555485,Rb2GdGa(SiO3)4,3.3463,80,3.6583,15.9376,15,Monoclinic,5
mp-863031,KNaGdTaO5,2.7502,18,6.0572,14.6296,129,Tetragonal,5
mp-1188784,Li2CdSnS4,1.9176,16,3.3133,23.3837,31,Orthorhombic,4
mp-17159,Li2CrO4,2.9665,42,2.4875,12.3857,148,Trigonal,3
mp-552185,AgNO3,1.8539,10,4.5095,12.5105,161,Trigonal,3
mp-1224730,Gd2CrSbO7,1.9649,22,7.3508,12.327,74,Orthorhombic,4
mp-1194591,NdTlP2S7,2.4404,44,3.7418,25.6197,14,Monoclinic,4
mp-32780,AuCl,1.6744,8,7.497,25.7396,141,Tetragonal,2
mp-1209756,Pr2(SO4)3,5.4024,34,3.9108,14.2369,15,Monoclinic,3
mp-1192556,RbInTe3O8,3.0269,26,4.9425,18.377,2,Triclinic,4
mp-559509,HgSb3XeF17,2.5858,88,4.1469,18.5678,14,Monoclinic,4
mp-1192209,As3Pb2BrO6,3.2587,24,5.7307,19.6813,11,Monoclinic,4
mp-1201217,CsVSeO5,3.0977,32,3.8514,18.4752,4,Monoclinic,4
mp-706291,Ca2B8H2O15,5.6576,54,2.5001,10.0525,2,Triclinic,4
mp-2713851,ZrNb(PO4)3,2.9136,102,2.9871,15.3376,161,Trigonal,4
mp-23059,Rb2SnCl6,2.5452,9,3.1794,29.153,225,Cubic,3
mp-16432,Sr3(BO3)2,4.398,22,4.2551,13.4982,167,Trigonal,3
mp-558050,Rb2NaMnF6,1.6786,10,3.749,16.0719,139,Tetragonal,4
mp-7863,Rb2Sn2O3,1.2196,7,4.6488,23.2868,166,Trigonal,3
mp-568346,HfBrN,2.1298,6,6.9566,21.6738,59,Orthorhombic,3
mp-1219240,ScPaO4,2.4935,6,7.8997,11.9111,123,Tetragonal,3
mp-1206535,Cs2RbCuF6,0.8744,10,4.4117,19.9043,225,Cubic,4
mp-1201252,CsBe2P2HO8,5.5956,56,3.1865,12.7256,2,Triclinic,5
mp-1195657,LiSb2F7,4.7225,40,4.4252,14.3887,62,Orthorhombic,3
mp-5053,KCrF4,2.9232,144,2.919,15.8422,62,Orthorhombic,3
mp-18449,K2ZrO3,3.6617,24,3.3727,17.8408,62,Orthorhombic,3
mp-1198311,Hf(TlSe)4,1.3377,45,7.7772,31.1225,2,Triclinic,3
mp-21879,Ba2CePtO6,1.4204,10,7.598,15.4264,225,Cubic,4
mp-555681,La3CuS3O2,0.967,36,5.7905,19.3875,62,Orthorhombic,4
mp-672338,Cs(Bi2Te3)2,0.8484,44,6.8411,38.2724,8,Monoclinic,3
mp-1212662,GaClO,2.675,12,3.2985,20.3341,29,Orthorhombic,3
mp-1194355,Fe3Sb2(BrO)4,2.3936,26,4.2218,24.0431,64,Orthorhombic,4
mp-1194160,BaHf(SiO3)3,4.6887,28,4.4162,14.6125,188,Hexagonal,4
mp-1197298,CuAs12P4S12Cl,2.2937,120,2.7674,30.136,159,Trigonal,5
mp-1103256,FeSbSe,0.622,12,7.9117,17.9496,14,Monoclinic,3
mp-13744,Rb3GaO3,2.4181,14,4.4215,20.0722,12,Monoclinic,3
mp-1213137,CsK2LaV2O8,3.7121,28,3.888,17.6904,11,Monoclinic,5
mp-1214389,BaPb3O4,2.0029,16,8.1067,21.0706,190,Hexagonal,3
mp-683867,Tb(BO2)3,5.5827,160,5.1614,9.2449,62,Orthorhombic,3
mp-1205381,Cs4FeO3,0.3903,32,4.9198,26.8105,2,Triclinic,3
mp-505234,BaP2PbO7,4.3622,44,4.9714,15.7434,62,Orthorhombic,4
mp-27998,KNb3O8,2.4752,24,4.005,15.4035,63,Orthorhombic,3
mp-1195801,MnAs2H16(S2N)4,0.976,124,1.9694,14.5098,13,Monoclinic,5
mp-1212046,K2HoCl5,4.9926,32,3.2757,26.6385,62,Orthorhombic,3
mp-556585,MnF2,2.3648,12,4.0151,12.8118,60,Orthorhombic,2
mp-29568,RuS3Cl8,1.8602,24,2.5634,25.9595,2,Triclinic,3
mp-1199971,Rb2PH4Se3O2,1.3946,48,3.2381,20.2912,58,Orthorhombic,5
mp-1212805,Er(ZnP)3,0.3703,14,5.6771,19.0711,194,Hexagonal,3
mp-23392,K4CdCl6,3.983,22,2.5327,28.7002,167,Trigonal,3
mp-29698,Nb3ClO7,2.0588,44,4.1988,15.3218,62,Orthorhombic,3
mp-1226199,Cs2ZrMn(MoO4)4,2.3455,48,3.4044,21.3749,12,Monoclinic,5
mp-1189528,Ca2ScSbO6,3.6318,20,4.5366,12.55,14,Monoclinic,4
mp-1210726,Mg3Fe2H4(Se3O10)2,2.1885,35,3.7592,12.3984,2,Triclinic,5
mp-1105147,Sr2YOsO6,0.173,20,6.4186,14.2386,14,Monoclinic,4
mp-1228350,Ba2ScCuO4,2.0282,8,5.2679,17.6189,123,Tetragonal,4
mp-28205,Na3ReO5,2.4306,27,4.7214,13.0979,152,Trigonal,3
mp-11121,CsTbCdSe3,2.0647,12,5.3526,33.1493,63,Orthorhombic,4
mp-4019,CaTiO3,2.3053,20,4.0293,11.205,62,Orthorhombic,3
