mp_id,formula,nsites,density_g_per_cm3,volume_per_atom_A3,spacegroup_number,crystal_system,nelements
mp-30105,Ba2B4Se13,76,4.6054,25.5121,14,Monoclinic,3
mp-556413,Na4Cd2Si3O10,38,3.5506,13.8097,15,Monoclinic,4
mp-1195632,ErTl2P2Se7,48,5.6212,29.3115,15,Monoclinic,4
mp-1197361,Rb3PuH4O7,60,4.4346,15.3883,14,Monoclinic,4
mp-23013,U(ClO)2,20,5.3252,21.2624,62,Orthorhombic,3
mp-644514,MnO2,18,5.0015,9.6213,12,Monoclinic,2
mp-3236,Pr2SO2,5,6.0012,19.141,164,Trigonal,3
mp-17123,Si2Os,24,9.6458,14.1394,64,Orthorhombic,2
mp-574651,CsSmMnSe3,12,4.8594,32.7526,63,Orthorhombic,4
mp-29424,Sr4As3,56,4.4125,30.9257,55,Orthorhombic,2
mp-24001,NaZn2P2HO8,28,3.0354,13.4718,2,Triclinic,5
mp-510661,Gd(IO3)3,52,5.8043,15.0077,14,Monoclinic,3
mp-1220031,Pr2(MoO4)3,34,5.048,14.7375,15,Monoclinic,3
mp-27246,LuSBr,6,5.6051,28.3354,59,Orthorhombic,3
mp-18353,Cs2Mo3SeO12,36,4.7212,16.1123,173,Hexagonal,4
mp-1197125,K3Al2(AsO4)3,80,2.7627,17.6713,33,Orthorhombic,4
mp-1211601,KEr(MoO4)2,48,4.5946,15.8489,60,Orthorhombic,4
mp-554819,MgP4(Cl5O3)2,42,1.835,25.8005,2,Triclinic,4
mp-1213991,CaMnSiO4,28,3.3535,13.2351,62,Orthorhombic,4
mp-1103213,SbTeOs,12,10.8236,22.4804,14,Monoclinic,3
mp-1202326,NiP2(PbO4)2,52,6.1182,13.8427,14,Monoclinic,4
mp-1211434,KMg3V3CuO12,40,3.3683,12.827,15,Monoclinic,5
mp-697671,Ba6Mg7H26,39,3.2754,13.2631,71,Orthorhombic,3
mp-648932,Nb2PS10,52,2.551,26.911,18,Orthorhombic,3
mp-1225874,CsZnCoF6,18,4.2129,16.2583,74,Orthorhombic,4
mp-1214449,BaFeP(O2F)2,36,4.4305,13.582,14,Monoclinic,5
mp-1196551,Rb7SmFe6(P4O17)2,56,3.6277,15.3299,2,Triclinic,5
mp-567278,Sr(Si3N4)2,15,3.473,11.7359,44,Orthorhombic,3
mp-29449,Rb4Cu5Cl9,72,3.1188,28.9482,7,Monoclinic,3
mp-552738,TmBi2IO4,8,8.6831,18.5931,123,Tetragonal,4
mp-557257,KVF3,5,3.4675,14.0825,221,Cubic,3
mp-863757,K2SbAu,8,4.8648,33.8713,63,Orthorhombic,3
mp-505141,Cs2SnS14,68,2.7786,29.2982,14,Monoclinic,3
mp-1228133,Ba3Lu2MoO9,15,7.4565,14.8739,164,Trigonal,4
mp-1227054,Cs3Ho7Se12,44,5.8731,32.1387,31,Orthorhombic,3
mp-1047437,Ca(CuO2)2,14,5.0028,10.9615,88,Tetragonal,3
mp-31318,Nd2TeO6,36,6.5604,14.4017,19,Orthorhombic,3
mp-1201868,Pr4As2S9,60,4.4666,24.8355,60,Orthorhombic,3
